flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD
ITEM_BOW	<RE>$ITM_W_BOW
ITEM_STAFF	<RE>$ITM_W_STAFF
ITEM_LIGHT	<RE>$ITM_A_LIGHT
ITEM_HEAVY	<RE>$ITM_A_HEAVY
ITEM_BOOK	<RE>$ITM_W_BOOK
ITEM_WEAPON	Zbraň
ITEM_ARMOR	Brnění
$ITM_W_BOOK	Kniha	<NULL>
$ITM_W_BOOK_PLURAL	Knihy	<NULL>
$ITM_A_LIGHT	lehké brnění	<NULL>
$ITM_A_LIGHT_PLURAL	lehká brnění	<NULL>
$ITM_A_HEAVY	těžké brnění	<NULL>
$ITM_A_HEAVY_PLURAL	těžká brnění	<NULL>
$ITM_W_SWORD	meč	<NULL>
$ITM_W_SWORD_PLURAL	meče	<NULL>
$ITM_W_BOW	luk	<NULL>
$ITM_W_BOW_PLURAL	luky	<NULL>
$ITM_W_STAFF	hůl	<NULL>
$ITM_W_STAFF_PLURAL	hole	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	lehká	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	těžká	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	meče	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	hole	<NULL>
$ITM_W_BOW_PLURAL_SHORT	luky	<NULL>
$ITM_W_BOOK_PLURAL_SHORT	knihy	<NULL>
$ITM_A_LIGHT_1	Pytel	Jutový pytel pod oblečením. Škrábe to, ale lepší než nic.
$ITM_A_LIGHT_2	Kůže	Usušená zvířecí kůže, nahrubo sešitá po stranách. Tlustá a pevná..
$ITM_A_LIGHT_3	Náčelníkova tunika	Tahle zářivě barevná nomádská tunika je upletená z hrubé vlny a krásně vyšívaná. Lem je zdobený nekonečnými kořeny Stromu Světa.
$ITM_A_LIGHT_4	Tunika z hrubé vlny	Dlouhá, silná tunika z ceněné vlny od nomádských pasáků.
$ITM_A_LIGHT_5	Vesta z tygří kůže	Quaidské ohňové motivy na koženém opasku jsou to jediné, co prozrazuje exotický původ tohoto oděvu.
$ITM_A_LIGHT_6	Kožešina	Teplá a silná vesta ušitá z cenné kožešiny.
$ITM_A_LIGHT_7	Ozimalův kabát	Smrdí lehce po sýru.
$ITM_A_LIGHT_8	Kožené brnění	Vesta pečlivě ušitá z ošetřené kůže.
$ITM_A_LIGHT_9	Hábit mnicha bojovníka	Tenhle silně vycpaný hábit je vyzdoben symboly Deváté větve Selini, Domu Bojovníků, ochránců pravdy a řádu.
$ITM_A_LIGHT_10	Vlněný kabátec	Několik vrstev jemné vlny, pečlivě prošitých a vycpaných útržky látky a zvířecí srstí, poskytuje solidní obranu proti většině útoků.
$ITM_A_LIGHT_11	Zabijákova Hloupost	Na první pohled to vypadá jako nóbl zdobená košile. Při bližším ohledání zjistíme, že pod podšívkou se skrývají tenké ocelové plátky, jeden přes druhý. Škrábanec na zádech dokazuje, že tenhle geniální vynález už nejméně jednoho zabijáka ošálil.
$ITM_A_LIGHT_12	Hedvábný kabátec	Několik vrstev prošívaného hedvábí proložených koňskými žíněmí dokáže zastavit i šíp.
$ITM_A_LIGHT_13	Pán lučištníků	Tenhle kabátec z Ashe je vyroben z nejjemnějšího hedvábí. Zdobí ho složité vyšívání, které říká, že jeho majitel je Pán lučištníků. Četné drobné záplaty dokazují, že tohle mimořádné brnění již zažilo spoustu konfliktů a nejspíš jej mnoho Pánů odkázalo svým následovníkům..
$ITM_A_LIGHT_14	Platinové rouno	Mnohem cennější nez obyčejné 'zlaté'. Žádné se nemůže vyrovnat jeho oslepujícímu lesku, neboť bylo staženo z těla samotné Axximy Vatty Muttunaxxor.
$ITM_A_LIGHT_15	Náčelníkova tunika+	Tahle zářivě barevná nomádská tunika je upletená z hrubé vlny a krásně vyšívaná. Lem je zdobený nekonečnými kořeny Stromu Světa.
$ITM_A_LIGHT_16	Vesta z tygří kůže+	Quaidské ohňové motivy na koženém opasku jsou to jediné, co prozrazuje exotický původ tohoto oděvu.
$ITM_A_LIGHT_17	Ozimalův kabát+	Smrdí lehce po sýru.
$ITM_A_LIGHT_18	Hábit mnicha bojovníka+	Tenhle silně vycpaný hábit je vyzdoben symboly Deváté větve Selini, Domu Bojovníků, ochránců pravdy a řádu.
$ITM_A_LIGHT_19	Zabijákova Hloupost+	Na první pohled to vypadá jako nóbl zdobená košile. Při bližším ohledání zjistíme, že pod podšívkou se skrývají tenké ocelové plátky, jeden přes druhý. Škrábanec na zádech dokazuje, že tenhle geniální vynález už nejméně jednoho zabijáka ošálil.
$ITM_A_LIGHT_20	Pán lučištníků+	Tenhle kabátec z Ashe je vyroben z nejjemnějšího hedvábí. Zdobí ho složité vyšívání, které říká, že jeho majitel je Pán lučištníků. Četné drobné záplaty dokazují, že tohle mimořádné brnění již zažilo spoustu konfliktů a nejspíš jej mnoho Pánů odkázalo svým následovníkům..
$ITM_A_LIGHT_21	Platinové rouno+	Mnohem cennější nez obyčejné 'zlaté'. Žádné se nemůže vyrovnat jeho oslepujícímu lesku, neboť bylo staženo z těla samotné Axximy Vatty Muttunaxxor.
$ITM_A_LIGHT_22	Pytel+	Jutový pytel pod oblečením. Škrábe to, ale lepší, než nic. Díky kouzlu je však mnohem účinnější.
$ITM_A_LIGHT_23	Kožešina+	Teplá a silná vesta ušitá z cenné kožešiny. Díky kouzlu je však mnohem účinnější.
$ITM_A_LIGHT_24	Tunika z hrubé vlny+	Dlouhá, silná tunika z ceněné vlny od nomádských pasáků. Díky kouzlu je však mnohem účinnější.
$ITM_A_LIGHT_25	Kožešina+	Teplá a silná vesta ušitá z cenné kožešiny. Díky kouzlu je však mnohem účinnější.
$ITM_A_LIGHT_26	Kožené brnění+	Vesta pečlivě ušitá z ošetřené kůže. Díky kouzlu je však mnohem účinnější.
$ITM_A_LIGHT_27	Vlněný kabátec+	Několik vrstev jemné vlny, pečlivě prošitých a vycpaných útržky látky a zvířecí srstí, poskytuje solidní obranu proti většině útoků. Díky kouzlu je však mnohem účinnější.
$ITM_A_LIGHT_28	Hedvábný kabátec+	Několik vrstev prošívaného hedvábí proložených koňskými žíněmí dokáže zastavit i šíp. Díky kouzlu je však mnohem účinnější.
$ITM_A_HEAVY_1	Kabátec s plechy	Lehký kabátec vylepšený spojenými železnými díly na ochranu paží z vnější strany.
$ITM_A_HEAVY_2	Kroužková košile	Košile ze stovek vzájemně propletených železných kroužků, každý zvlášť snýtovaný.
$ITM_A_HEAVY_3	Sláva Válce	Tohle speciální quaidské brnění je opravdu stylové a luxusní. Každý kroužek je nabarvený na modro a poslední řada je pozlacená. Přidané pláty jsou zdobené zlacenými motivy císařské rodiny. Do brnění je vyškrábán nápis v quaidštině ''jak pozdě je na tyto věci myslet''.  Další slova jsou naškrábána v rozích, ale pravděpodobně byla ryta ve spěchu a jsou nečitelná.
$ITM_A_HEAVY_4	Obrněná košile	Kroužková košile doplněná o železné pláty pro vyšší ochranu těla. Standardní brnění quaidské pěchoty během války.
$ITM_A_HEAVY_5	Jezdecká lamelová zbroj	Tahle dobře ušitá lamelová zbroj má zvětšenou ochranu ramen a stehenní pláty prodloužené až přes kolena, takže byla zjevně používána těžkou jízdou. Zlatem vykládaná předloktí a hedvábný kabátec svědčí o tom, že předchozí majitel oplýval bohatstvím stejně jako vkusem. Některé pláty jsou zdobeny rytými nápisy v jakémsi cizím jazyce. Podle jejich umístění poblíž srdce se pravděpodobně jedná o ochranná zaříkadla, ale jistě to nikdo nemůže říct.
$ITM_A_HEAVY_6	Lamelová zbroj	Spousty malých železných plátků spojených pevnými hedvábnými provazy.
$ITM_A_HEAVY_7	Zrádcova zbroj	Vykládané nárameníky na tomto plátovém brnění z Ashe značí, že jeho majitelem byl vysoký důstojník. Brnění je zachovalé, ale ashské slovo pro ''zrádce'' bylo do látky vyryto tak silně, že je pořád vidět. I přes červené barvivo jsou vidět velké krvavé skrvny, ačkoliv brnění nenese žádné stopy po velkém poškození.
$ITM_A_HEAVY_8	Plátovaný kabátec	Výborná ochrana těla je dosažena použitím velkých a těžkých železných plátů, které jsou přinýtovány zevnitř ke kabátu z velmi pevného plátna.
$ITM_A_HEAVY_9	Wocolanova Síla	Tato zbroj kombinuje zelený samet s velikými naleštěnými nárameníky, typickými pro quaidskou těžkou pěchotu. Zlatem vykládáný znak zobrazuje quaidského hrdinu Wocolana, kterak holýma rukama drtí medvědovi hlavu, a jeho děti Wastana a Wacellu, které pijí krev proudící z medvědova krku, aby přežily dlouhý a náročný pochod do vyhnanství.
$ITM_A_HEAVY_10	Plátová zbroj	Stovky železných plátků přinýtovaných zevnitř ke kombinaci plátna, hedvábí a sametu tvoří ochranu dobře padnoucí na tělo.
$ITM_A_HEAVY_11	Zbroj Lorda Wardena	Insignie na této kvalitní plátove zbroji značí, že jejím majitelem byl Lord Warden, ashský úředník pověřený dohledem nad Jámou. Jak se mohlo stát, že se ztratil ve vlastním vězení, to se neví, ale krvavé skvrny na vnitřních popruzích dávají tušit, že to nebylo nic hezkého.
$ITM_A_HEAVY_12	Ocelová zbroj	Složitě tvarované ocelové pláty připevněné na kožené zbroji nabízejí výbornou ochranu a přitom neomezují v pohybu. Oblíbená zbroj ashských rytířů.
$ITM_A_HEAVY_13	Čistota Plamene	Tato příkladně vyleštěná plátová zbroj odráží světlo s až pekelnou intenzitou. Sotva znatelné rytiny jsou quaidské nápisy, ale v tak prastarém nářečí, že pochopit lze pouze ''ten, jenž pohlcuje''.  Tenhle hrudní plát byl pravděpodobně již mnohokrát repasován - zbytek zbroje je zjevně mnohem modernější. Kryptické piktogramy snad naznačují nějakou roli v Císařském Rituálu Ohně.
$ITM_A_HEAVY_14	Strážce Fontány	Tahle mistrně zpracovaná plátová zbroj získala modřením téměř černou barvu. Zlatem vykládaná přední strana ukazuje Fontánu z ashského Chrámu, takže tohle úžasné brnění nejspíše patřilo některému ze členů elitní chrámové stráže. Těžko vysvětlit, jak se takovýhle cenný kousek vůbec dostal do Jámy.
$ITM_A_HEAVY_15	Sláva Válce+	Tohle speciální quaidské brnění je opravdu stylové a luxusní. Každý kroužek je nabarvený na modro a poslední řada je pozlacená. Přidané pláty jsou zdobené zlacenými motivy císařské rodiny. Do brnění je vyškrábán nápis v quaidštině ''jak pozdě je na tyto věci myslet''.  Další slova jsou naškrábána v rozích, ale pravděpodobně byla ryta ve spěchu a jsou nečitelná.
$ITM_A_HEAVY_16	Jezdecká lamelová zbroj+	Tahle dobře ušitá lamelová zbroj má zvětšenou ochranu ramen a stehenní pláty prodloužené až přes kolena, takže byla zjevně používána těžkou jízdou. Zlatem vykládaná předloktí a hedvábný kabátec svědčí o tom, že předchozí majitel oplýval bohatstvím stejně jako vkusem. Některé pláty jsou zdobeny rytými nápisy v jakémsi cizím jazyce. Podle jejich umístění poblíž srdce se pravděpodobně jedná o ochranná zaříkadla, ale jistě to nikdo nemůže říct.
$ITM_A_HEAVY_17	Zrádcova zbroj+	Vykládané nárameníky na tomto plátovém brnění z Ashe značí, že jeho majitelem byl vysoký důstojník. Brnění je zachovalé, ale ashské slovo pro ''zrádce'' bylo do látky vyryto tak silně, že je pořád vidět. I přes červené barvivo jsou vidět velké krvavé skrvny, ačkoliv brnění nenese žádné stopy po velkém poškození.
$ITM_A_HEAVY_18	Wocolanova Síla+	Tato zbroj kombinuje zelený samet s velikými naleštěnými nárameníky, typickými pro quaidskou těžkou pěchotu. Zlatem vykládáný znak zobrazuje quaidského hrdinu Wocolana, kterak holýma rukama drtí medvědovi hlavu, a jeho děti Wastana a Wacellu, které pijí krev proudící z medvědova krku, aby přežily dlouhý a náročný pochod do vyhnanství.
$ITM_A_HEAVY_19	Zbroj Lorda Wardena+	Insignie na této kvalitní plátove zbroji značí, že jejím majitelem byl Lord Warden, ashský úředník pověřený dohledem nad Jámou. Jak se mohlo stát, že se ztratil ve vlastním vězení, to se neví, ale krvavé skvrny na vnitřních popruzích dávají tušit, že to nebylo nic hezkého.
$ITM_A_HEAVY_20	Čistota Plamene+	Tato příkladně vyleštěná plátová zbroj odráží světlo s až pekelnou intenzitou. Sotva znatelné rytiny jsou quaidské nápisy, ale v tak prastarém nářečí, že pochopit lze pouze ''ten, jenž pohlcuje''.  Tenhle hrudní plát byl pravděpodobně již mnohokrát repasován - zbytek zbroje je zjevně mnohem modernější. Kryptické piktogramy snad naznačují nějakou roli v Císařském Rituálu Ohně.
$ITM_A_HEAVY_21	Strážce Fontány+	Tahle mistrně zpracovaná plátová zbroj získala modřením téměř černou barvu. Zlatem vykládaná přední strana ukazuje Fontánu z ashského Chrámu, takže tohle úžasné brnění nejspíše patřilo některému ze členů elitní chrámové stráže. Těžko vysvětlit, jak se takovýhle cenný kousek vůbec dostal do Jámy.
$ITM_A_HEAVY_22	Kabátec s plechy+	Lehký kabátec vylepšený spojenými železnými díly na ochranu paží z vnější strany.
$ITM_A_HEAVY_23	Kroužková košile+	Košile ze stovek vzájemně propletených železných kroužků, každý zvlášť snýtovaný.
$ITM_A_HEAVY_24	Obrněná košile+	Kroužková košile doplněná o železné pláty pro vyšší ochranu těla. Standardní brnění quaidské pěchoty během války.
$ITM_A_HEAVY_25	Lamelová zbroj+	Spousty malých železných plátků spojených pevnými hedvábnými provazy.
$ITM_A_HEAVY_26	Plátovaný kabátec+	Výborná ochrana těla je dosažena použitím velkých a těžkých železných plátů, které jsou přinýtovány zevnitř ke kabátu z velmi pevného plátna.
$ITM_A_HEAVY_27	Plátová zbroj+	Stovky železných plátků přinýtovaných zevnitř ke kombinaci plátna, hedvábí a sametu tvoří ochranu dobře padnoucí na tělo.
$ITM_A_HEAVY_28	Ocelová zbroj+	Složitě tvarované ocelové pláty připevněné na kožené zbroji nabízejí výbornou ochranu a přitom neomezují v pohybu. Oblíbená zbroj ashských rytířů.
$ITM_A_SKULL_1	Kamenná lebka	Vyleštěná lebka z kamene. Dle některých je to magický talisman, který si navrátilci berou do boje. Mezi odborníky panuje shoda, že to půjde vyměnit za něco opravdu super.
$ITM_A_SKULL_2	Bronzová lebka	Odlitá z bronzu, pravděpodobně používaná při speciálních zaříkadlech a obřadech. Rozhodně je cennější než kamenná.
$ITM_A_SKULL_3	Obsidiánová lebka	Pracně vyřezaná z obsidiánu, až děsive dokonalá do posledního detailu. Velmi vzácná a poptávaná sběrateli.
$ITM_A_SKULL_4	Stříbrná lebka	Tahle lebka je z ryzího stříbra. K čemu může být dobrá?
$ITM_A_SKULL_5	Zlatá lebka	Tahle lebka je z ryzího zlata. K čemu může být dobrá?
$ITM_A_SKULL_6	Lebka z nezískatia	Jak název napovídá, nezískatium je nezískatelné. Nosíš to ssebou vlastně už od začátku, ale až teď to víš.
$ITM_W_SWORD_1	Kamenná kudla	Ostrý kus kamene s dřevěnou rukojetí. Lepší než nic.
$ITM_W_SWORD_2	Železná kudla	Čepel ze železného odpadu. Primitivní, ale efektivní.
$ITM_W_SWORD_3	Rezavý meč	Rezavý, omlácený meč. Takovýchle odhozených zbraní seženete v Jámě spousty skoro za hubičku.
$ITM_W_SWORD_4	Pohár krevní msty	Tenhle nomádský bojový nůž je vyzdoben symboly kmene Gasta a další, neznámé, rodové skupiny, se kterou kdysi Gastové vedli nesmiřitelný boj. Na kostěném držadle je 17 zářezů.
$ITM_W_SWORD_5	Železný meč	Jednoduchý železný meč. Není dobře vyvážený, z nekvalitního železa, ale v dobrém stavu.
$ITM_W_SWORD_6	Čestná pomsta	Zdobená jantarová rukojeť budí falešné zdání, že tenhle quaidský soubojový meč je jen na parádu. Rytina na spodku čepele říká: ''Msta čestných. Plamen ve mně plane.''.  Nejspíše byl tenhle meč vyrobený pro konkrétní duel, který rozhodoval spor o čest mezi dvěma šlechtici.
$ITM_W_SWORD_7	Vojenský meč	Armádní zbraň, za války vyráběná v obrovském množství. Efektivní a odolná.
$ITM_W_SWORD_8	Ostří Řádu	Tahle čepel z Ashe má po celé délce vyrytý prastarý nápis: ''Jsem Ostří Ŕádu. Odděluji správné od špatného, temnotu od světla. Vedu paži, která mne drží, do ... ''. Generace leštění a bojů učinily zbytek textu nečitelným.
$ITM_W_SWORD_9	Důstojnický meč	Další památka na válku, jednoruční meč pro důstojníka.
$ITM_W_SWORD_10	Velitel Legií	Elegantní a přitom jednoduchá konstrukce z Ashe naznačuje, že tahle zbraň byla vyrobena pro skromného šlechtice. Na jedné straně rukojeti je vyryto 'Velitel Legií' a na druhé 'Sluha Nehnutého Hybatele'. Oválný jílec je z jedné strany zdoben sférami nebeského stroje a z druhé rytinou poutníka pijícího z Fontány Chrámu v Ashi.
$ITM_W_SWORD_11	Mistrův meč	Perfektně vyvážený, dokonale ukovaný, tomuhle meči se nic nevyrovná.
$ITM_W_SWORD_12	Plamenné oko	Tenhle bezkonkurenční meč má ve žlábku vyrytý starý quaidský nápis. Díky starému dialektu a opotřebování se toho už moc nedá přečíst: ''Pohleďte... Plamenné oko...Sláva...prchněte, ostudní...královská věc...'' Na hlavici se skví dva obrovské rubíny, jež se zdají jakoby hořet zevnítř. Litý jílec zobrazuje Zeď vzpomínek, kde jsou vyznačena jména všech čestných quaidských císařů. Tahle pozoruhodná zbraň téměř jistě patřila členovi královské rodiny.
$ITM_W_SWORD_13	Evni	Sen každého berserka. Na světě existuje pouze jediný - a cena tomu odpovídá.
$ITM_W_SWORD_14	Pohár krevní msty+	Tenhle nomádský bojový nůž je vyzdoben symboly kmene Gasta a další, neznámé, rodové skupiny, se kterou kdysi Gastové vedli nesmiřitelný boj. Na kostěném držadle je 17 zářezů.
$ITM_W_SWORD_15	Čestná pomsta+	Zdobená jantarová rukojeť budí falešné zdání, že tenhle quaidský soubojový meč je jen na parádu. Rytina na spodku čepele říká: ''Msta čestných. Plamen ve mně plane.''.  Nejspíše byl tenhle meč vyrobený pro konkrétní duel, který rozhodoval spor o čest mezi dvěma šlechtici.
$ITM_W_SWORD_16	Ostří Řádu+	Tahle čepel z Ashe má po celé délce vyrytý prastarý nápis: ''Jsem Ostří Ŕádu. Odděluji správné od špatného, temnotu od světla. Vedu paži, která mne drží, do ... ''. Generace leštění a bojů učinily zbytek textu nečitelným.
$ITM_W_SWORD_17	Velitel Legií+	Elegantní a přitom jednoduchá konstrukce z Ashe naznačuje, že tahle zbraň byla vyrobena pro skromného šlechtice. Na jedné straně rukojeti je vyryto 'Velitel Legií' a na druhé 'Sluha Nehnutého Hybatele'. Oválný jílec je z jedné strany zdoben sférami nebeského stroje a z druhé rytinou poutníka pijícího z Fontány Chrámu v Ashi.
