flag	content	comment		
$BASE_ATTACK	Ataque base			
$BATTLE_STARTING_FORMATION_TEXT	¿Usar la misma formación inicial que la última vez?			
$BONUS_DEFENSE	Bonus de defensa			
$BOOK_COOL_MULT	Tiempo de enfriamiento de hechizo x			
$BOOK_COST_MULT	Coste de hechizo x			
$BOOK_PSI_TAX	Cantidad de PSI:			
$CANT_AFFORD_NUMS	font:12,x_off:,y_off:-10			
$CONFIRM_QUIT_TEXT	<RE>$CONFIRM_RESTART_TEXT	COMMENT: this is a redirect, the text for $MISC_PLEASE_WAIT will be duplicated here. The <RE> invocation at the beginning of the string signals a redirect, and will not show up in the final text		
$CONFIRM_QUIT_TITLE	¿Salir de la batalla?			
$CONFIRM_RES_CHANGE	Resolución modificada.<N>¿Te gusta?<N><N>REVIRTIENDO EN <TIME> SEGUNDOS			
$CONFIRM_RESTART_TEXT	Perderás toda la experiencia y el dinero que habías ganado hasta ahora.			
$CONFIRM_RESTART_TITLE	¿Reiniciar la batalla?			
$DATA_DUMP_AUDIO	Exportando audio...			
$DATA_DUMP_BACKGROUNDS	<RE>$DATA_DUMP_BKG			
$DATA_DUMP_BKG	Exportando imágenes de escenario...			
$DATA_DUMP_CUTSCENE	Exportando cinemáticas...			
$DATA_DUMP_CUTSCENES	<RE>$DATA_DUMP_CUTSCENE			
$DATA_DUMP_DATA	Exportando archivos de datos...			
$DATA_DUMP_EMBED	Exportando gráficos integrados...			
$DATA_DUMP_IMAGES	Exportando imágenes de datos...			
$DATA_DUMP_LOCALES	Exportando configuración regional...			
$DATA_DUMP_MAP_FILES	Exportando archivos de mapa...			
$DATA_DUMP_MAP_IMAGES	Exportando imágenes de mapa...	COMMENT: <N> means a line break. <N> works too, but not <N> or <n>		
$DATA_DUMP_MOD_INFO	Exportando información de mod...			
$DATA_DUMP_MUSIC	Exportando música...			
$DATA_DUMP_SFX	Exportando efectos de sonido...			
$DATA_DUMP_SPRITES	Exportando sprites...			
$DATA_DUMP_TABLES	Exportando tabla de datos...			
$DECIMATE_BY	Diezmar <PERCENT>%			
$DEMO_OVER_ACTS	Actos<N>III & IV			
$DEMO_OVER_DONT_FORGET	¡No olvides tu archivo de guardado!			
$DEMO_OVER_ENORMOUS	¡Clica el botón enorme para continuar tu aventura!			
$DEMO_OVER_ENORMOUS_2	¡Clica un botón enorme para continuar tu aventura!			
$DEMO_OVER_EXPORT_HOW	Exporta tu archivo de guardado con este botón.			
$DEMO_OVER_FULL_GAME	¡Consigue el JUEGO COMPLETO!			
$DEMO_OVER_FULL_GAME_SHORT	¡JUEGO<N>COMPLETO!			
$DEMO_OVER_PLAY	¡Sigue jugando!			
$DEMO_OVER_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT			
$DEMO_OVER_THANKS	¡Gracias por jugar!			
$DEMO_OVER_USE_IT	¡Úsalo para continuar desde donde lo dejaste!			
$EN_SPELL_DRAGON_FIRE_1_DESC	<DMG> DAÑO			
$EN_SPELL_DRAGON_FIRE_2_DESC	<LOW>-<HIGH> DAÑO			
$EN_SPELL_FRENZY_DESC	<PLUS><PERCENT> de velocidad durante <SEC> seg.	COMMENT: <MCG> is a variable. In this exact string, the game expects this exact variable, and will replace <MCG> with Azra's name. Any other variable is ignored and will appear as-is.		
$EN_SPELL_HEAL_DESC	Curación: <PERCENT> PV			
$END	terminar			
$ERROR_CONTEXT	contexto			
$ERROR_MESSAGE	mensaje			
$ERROR_NUMBER	Error #			
$ERROR_STACK	seguimiento			
$ERROR_TITLE	¡Ha ocurrido un error!			
$FB_HARD_SELL_NO	¡He dicho que jamás!			
$FB_HARD_SELL_TEXT	¿Estás seguro?<N>¡Mira! ¡Es tan brillante!			
$FB_HARD_SELL_YES	Bueno... vale.			
$FB_LIKE_US_NO	Ja ja ja. No.			
$FB_LIKE_US_TEXT	¡Dale a Me gusta en Facebook y<N>consigue este premio GRATIS!			
$FB_LIKE_US_YES	¡Vale!			
$FB_PERSISTENT_OK	¡La victoria es mía!			
$FB_PERSISTENT_TEXT	¡Vale, tú ganas!<N>Quédatelo de todas formas :)	COMMENT: The game will put Zelemir, Tletl-Meztli, or any other alternate mcguffin's name where <ALLY> appears.		
$FB_REBEL_TEXT	¡Llevas razón, que le den!<N>Quédate esto, anda.			
$FB_SECOND_PITCH	¡Todavía puedes conseguirlo<N>dándole a Me gusta en Facebook!			
$FB_SECOND_PITCH_NO	¡Jamás!			
$FB_SECOND_PITCH_YES	¡Vale!			
$FB_THANKS_OK	Vale			
$FB_THANKS_SUCKS	Que le den a Facebook			
$FB_THANKS_TEXT	¡Gracias por seguirnos en Facebook!<N>¡Ya está disponible tu premio!			
$FB_THIS_ITEM_WILL_NOW	Ahora este objeto aparecerá en el inventario de cualquier jugador.			
$FLAV_DESC_ARMOR_BREAK_AMT_GRTR_1	DestruyeIgnora <AMT_2DIG><EXTRA> puntos de armadura por cada punto de DAÑO de ataque.			
$FLAV_DESC_ARMOR_BREAK_AMT_LESS_1	Destruye 1 punto de armadura por cada <INV_AMOUNT><EXTRA> puntos de DAÑO de ataque.			
$FLAV_DESC_ARMOR_BREAK_DIRECT	El ataque destruye <AMTDMG><EXTRA> puntos de armadura.			
$FLAV_DESC_ARMOR_BREAK_SHORT	El ataque destruye varios puntos de armadura.			
$FLAV_DESC_ARMOR_PIERCE_AMT_GRTR_1	Ignora <AMT_1DIG><EXTRA> puntos de armadura por cada punto de DAÑO de ataque.			
$FLAV_DESC_ARMOR_PIERCE_AMT_LESS_1	Ignora 1 punto de armadura por cada <INV_AMOUNT><EXTRA> puntos de DAÑO de ataque.			
$FLAV_DESC_ARMOR_PIERCE_DIRECT	El ataque ignora <AMTDMG><EXTRA> puntos de armadura.			
$FLAV_DESC_ARMOR_PIERCE_SHORT	El ataque ignora varios puntos de armadura.	COMMENT: There are 4 variants here to handle the various pluralizations		
$FLAV_DESC_AUTO_KILL	Los enemigos por debajo de <PERCENT>%<EXTRA> de PV mueren automáticamente.			
$FLAV_DESC_AUTO_KILL_SHORT	Los enemigos muy débiles mueren automáticamente.			
$FLAV_DESC_BLEED	Los enemigos reciben <PERCENT>%<EXTRA> más de daño de los próximos impactos durante <TIME><EXTRA_TIME> seg.			
$FLAV_DESC_BLEED_SHORT	Los enemigos reciben más daño de los próximos impactos temporalmente.			
$FLAV_DESC_BLINDED	Los ataques enemigos fallan <PERCENT>% <EXTRA> de las veces durante<TIME><EXTRA_TIME> seg.			
$FLAV_DESC_BLINDED_SHORT	Los ataques enemigos pierden precisión durante unos pocos segundos.			
$FLAV_DESC_BURN	Los enemigos reciben <AMTDMG><EXTRA> de daño/seg durante <TIME><EXTRA_TIME> seg. Cancelado por hielo.			
$FLAV_DESC_BURN_SHORT	Los enemigos reciben daño durante poco tiempo. Cancelado por hielo.			
$FLAV_DESC_CHILL	Los enemigos están ralentizados un <PERCENT>%<EXTRA> durante <TIME><EXTRA_TIME> seg. Cancelado por quemadura.			
$FLAV_DESC_CHILL_SHORT	Los enemigos están ralentizados durante unos segundos. Cancelado por quemadura.			
$FLAV_DESC_CONFUSED	Los enemigos caminan hacia atrás durante <TIME><EXTRA_TIME> seg.			
$FLAV_DESC_CONFUSED_SHORT	Los enemigos caminan hacia atrás durante unos instantes.			
$FLAV_DESC_CRITICAL	Daño = <AMT_1DIG>x<EXTRA> normal.			
$FLAV_DESC_CRITICAL_SHORT	El daño es mayor de lo normal.			
$FLAV_DESC_DISEASE	La regeneración de los enemigos se reduce un <PERCENT>%<EXTRA>.			
$FLAV_DESC_DISEASE_SHORT	La regeneración de los enemigos se reduce.			
$FLAV_DESC_FREEZE	Los enemigos no se pueden mover durante <TIME><EXTRA_TIME> seg. Cancelado por quemadura.			
$FLAV_DESC_FREEZE_SHORT	Los enemigos no se pueden mover temporalmente. Cancelado por quemadura.			
$FLAV_DESC_INSPIRE	Los aliados causan <M_MULT_PERCENT>%<EXTRA> más de daño durante <TIME><EXTRA_TIME> seg.			
$FLAV_DESC_INSPIRE_SHORT	Los aliados causan más daño temporalmente.			
$FLAV_DESC_KNOCK_BACK	Empuja a los enemigos hacia atrás <AMT_1DIG><EXTRA> casillas.			
$FLAV_DESC_KNOCK_BACK_SHORT	Empuja a los enemigos hacia atrás unas cuantas casillas.			
$FLAV_DESC_LIGHT	Los enemigos OSCUROS reciben +<AMT_2DIG>x<EXTRA> de DAÑO y es más fácil golpearlos durante <TIME><EXTRA_TIME> seg.			
$FLAV_DESC_LIGHT_SHORT	Los enemigos OSCUROS reciben daño adicional y es más fácil golpearlos.			
$FLAV_DESC_POISON	Los enemigos reciben <PERCENT>%<EXTRA> de daño de ataque cada segundo durante <TIME><EXTRA_TIME> seg.			
$FLAV_DESC_POISON_DIRECT	Los enemigos reciben <AMTDMG><EXTRA> de daño cada segundo durante <TIME><EXTRA_TIME> seg.			
$FLAV_DESC_POISON_SHORT	Los enemigos reciben daño durante poco tiempo.	COMMENT: Font size and x/y offsets for options menu button labels		
$FLAV_DESC_SINGLE_STUN	Los enemigos no pueden moverse durante <TIME><EXTRA_TIME> seg. Solo se puede inflingir una vez.			
$FLAV_DESC_SINGLE_STUN_SHORT	Los enemigos no pueden moverse durante unos pocos segundos. Solo se puede inflingir una vez.			
$FLAV_DESC_SLOW	Los enemigos están ralentizados un <PERCENT>%<EXTRA> durante <TIME><EXTRA_TIME> seg.			
$FLAV_DESC_SLOW_SHORT	Los enemigos están ralentizados temporalmente.			
$FLAV_DESC_STRIKE_THROUGH	Los ataques pueden impactar hasta en <INTI><EXTRA> enemigos.	COMMENT: hide/show accessibility box graphic, offset for 'absence' text, offset for 'speed' text		
$FLAV_DESC_STRIKE_THROUGH_SHORT	Los ataques pueden impactar en múltiples enemigos.			
$FLAV_DESC_STUN	Los enemigos no se pueden mover durante <TIME><EXTRA_TIME> seg.			
$FLAV_DESC_STUN_SHORT	Los enemigos no se pueden mover temporalmente.			
$GETSCRAP1	Un montón de basura, harapos, piezas rotas y trozos afilados de metal oxidado.<N><N>¿Quién querría tener esto?			
$GETSCRAP2	Al parecer, los habitantes del Foso usan esta basura como moneda.			
$HERO_BLURB_BAKAL	Un viejo monje de voz suave que busca el perdón de sus pecados...			
$HERO_BLURB_KETTA	Una cazadora nómada, escéptica y hastiada de vivir...			
$HERO_BLURB_MARKOS	Un caballero curtido en la batalla, exánime por las innumerables contiendas...			
$HERO_BLURB_NIRU	Este misterioso y violento dragon no comparte sus secretos...			
$HERO_BLURB_SLAK	Un jovenzuelo extraño, valiente e inestable a la vez...			
$HERO_BLURB_WRENNA	La última princesa de Quaid, sedienta de venganza por la destrucción de su reino...			
$HIRE_NUMS	font:15,x_off:,y_off:-4			
$HIRE_SPRITE_NUMS	x_off:-5			
$LQ	«			
$MAP_TEXT_HERMIT	Ermitaño			
$MAP_TEXT_LAIR	Guarida			
$MAP_TEXT_PRISON	Prisión			
$MAP_TEXT_SHRINE	Santuario			
$MAP_TEXT_TREASURE	Cueva			
$MAP_TEXT_UNKNOWN	???			
$MCGUFFIN_LEARN_SPELL	¡<MCG> ha aprendido un hechizo nuevo!			
$MISC_1_FOE	1 enemigo			
$MISC_1_FRIEND	1 aliado			
$MISC_ABSORB_X	absorbe <X>			
$MISC_ABSORB_X_RESIST_Y	absorbe <X>, resiste <Y>%			
$MISC_ACCEPT	aceptar			
$MISC_ACCEPT_AND_CLOSE	Aceptar y cerrar			
$MISC_ACHIEVEMENT!	¡Logro!			
$MISC_AWARD!	Recompensa			
$MISC_ADJUST_REWARDS	100% es la cantidad por defecto. Ajusta un número mayor o menor para cambiar tus recompensas.			
$MISC_ADVANCED	avanzado			
$MISC_ADVANCED_SHORT	avan.			
$MISC_ALL_FOES	Todos enemigos en rango			
$MISC_ALL_FOES_IN	Enemigos en <TILES> casillas			
$MISC_ALL_FRIENDS	Todos aliados en rango			
$MISC_ALL_FRIENDS_IN	Aliagos en <TILES> casillas			
$MISC_ALL_TARGETS	Objetivos en rango			
$MISC_ALL_TARGETS_IN	Objetivos en <TILES> casillas			
$MISC_AMOUNT	cantidad			
$MISC_AMOUNT_SHORT	cant			
$MISC_ANONYMOUS	anónimo			
$MISC_ARE_YOU_SURE	¿Seguro?			
$MISC_ARMOR	armadura			
$MISC_ARMOR	armadura			
$MISC_ARMOR_SHORT	ARM			
$MISC_ASSIGN_POINTS	Asinar<N> puntos			
$MISC_ATTACK	ataque			
$MISC_ATTACK_SHORT	ATAQ			
$MISC_BACK	atrás			
$MISC_BASE_ATTACK	ataque base			
$MISC_BATTLE	Batalla			
$MISC_BEGIN	comenzar			
$MISC_BONUS	Bonus			
$MISC_BONUS_DEFENSE	defensa base			
$MISC_BOOST	mejora			
$MISC_BOOST_X	mejora <X>			
$MISC_BREAK_HERO_MODE_TEXT	Escogiste jugar en <LQ>Modo héroe<RQ>			
$MISC_BREAK_HERO_MODE_TITLE	¿Salir del Modo héroe?			
$MISC_BUY	comprar			
$MISC_CANCEL	cancelar			
$MISC_IGNORE	Ignorar
$MISC_CANT_AFFORD	No tienes suficiente			
$MISC_CANT_EQUIP!	No puedes equipar			
$MISC_CASUAL	casual			
$MISC_CASUAL_SHORT	casual			
$MISC_CHANCE	probabilidad			
$MISC_CHANGE	Cambiar			
$MISC_CLICK_HERE	Clica aquí			
$MISC_CLOSE	cerrar			
$MISC_COMPLETE	completado			
$MISC_COMPLETE!	¡completado!			
$MISC_CONFIG_DIR	Config. carpeta			
$MISC_CONFIRM	confirmar			
$MISC_CONFIRM_CHANGE	Confirmar cambios			
$MISC_CONFIRM_RECRUIT	Confirmar reclutamiento			
$MISC_CONTINUE	continuar			
$MISC_COST	coste			
$MISC_COST:	coste:			
$MISC_COUNTER	contra			
$MISC_CREDITS	Créditos			
$MISC_CURRENT_SAVE	Archivo de guardado actual:			
$MISC_CUSTOM_SETTINGS	Personalizar...			
$MISC_DAMAGE	daño			
$MISC_DAMAGE_RESIST	resistencia al DAÑO			
$MISC_DAMAGE_SHORT	DAÑO			
$MISC_DARK	oscuro			
$MISC_DARK_DESC	(evita el 75% de los ataques)			
$MISC_DEATH_SPLASH	salpicadura por muerte			
$MISC_DEF_SHORT	DEF			
$MISC_DEFAULT	Por defecto			
$MISC_DEFAULT_SETTINGS	Por defecto (recomendado para jugadores nuevos)			
$MISC_DEFEAT	Derrota			
$MISC_DEFEND	defender			
$MISC_DEFENDER	defensor			
$MISC_DEFENDERS	defensores			
$MISC_DEFENSE	defensa			
$MISC_DEFENSE_ABS	defensa			
$MISC_DEFENSE_SHORT	DEF			
$MISC_DELETE_ACHIEVEMENT	¿Borrar logro?			
$MISC_DELETE_BOTH_GOG_ACHIEVEMENT	Borrar logros locales y de GOG			
$MISC_DELETE_BOTH_STEAM_ACHIEVEMENT	Borrar logros locales y de Steam			
$MISC_DELETE_LOCAL_ACHIEVEMENT	Borrar solamente logro local			
$MISC_DEMO_VERSION	Versión demo			
$MISC_DEMO_VERSION_DESC	Esto es una demo pública de la versión preliminar de Defender's Quest: Valley of the Forgotten, edición especial en HD.<N><N>Puede que tenga algunos fallos, y los gráficos y las funciones no son definitivas.<N><N>Por favor, ten en cuenta que puede que no represente el estado del producto final.			
$MISC_DESCRIPTION	description			
$MISC_DISABLED	desactivar			
$MISC_DOWNLOAD	descargar			
$MISC_DQ_NEWS	¡Entérate de las NOTICIAS!			
$MISC_DQ_SITE	DefendersQuest.com			
$MISC_EASIER	más fácil			
$MISC_EASY	normal			
$MISC_EASY_SHORT	normal			
$MISC_EMPTY	Vacío			
$MISC_ENABLED	activar			
$MISC_ENEMY_LEVELS	Niveles de enemigo			
$MISC_ENTER	ir			
$MISC_ENTER_TEXT	Introduce texto:			
$MISC_EQUIP	equipar			
$MISC_ERROR	error			
$MISC_ERROR_INVALID_MOD_NAME	¡Nombre de mod no válido!			
$MISC_ERROR_MOD_BAD	Ese mod no es compatible con esta versión del juego. ¡Lo siento!			
$MISC_ERROR_MOD_EXISTS	¡Ya existe un mod con ese nombre!			
$MISC_ERROR_UNKNOWN	Error desconocido. ¡Lo siento!			
$MISC_ERROR_UNZIP	No se pudo descomprimir el mod. Modifica la ruta de tu mod en el menú de opciones o comprueba el espacio de tu disco duro.			
$MISC_ERROR!	¡error!			
$MISC_EVADE	evasión			
$MISC_EVADE_SHORT	EVA			
$MISC_EVASION	evasión			
$MISC_EXIT	salir			
$MISC_EXPERIENCE	experiencia			
$MISC_EXTREME	extremo			
$MISC_EXTREME_SHORT	extr.			
$MISC_FAIL_TT_TEXT	Cuánta experiencia y chatarra pierdes de la recompensa al perder una batalla.<N>-50% es la cantidad por defecto. Ajusta un número mayor o menor para cambiar la penalización.			
$MISC_FAIL_TT_TITLE	<RE>$UI_ACCESS_FAILURE_PENALTY			
$MISC_FAST	rápido			
$MISC_FOE_PLURAL	enemigos			
$MISC_FOE_SINGULAR	enemigo			
$MISC_FRIEND_PLURAL	aliados			
$MISC_FRIEND_SINGULAR	aliado			
$MISC_GAIN	ganacia			
$MISC_GAME_DATA	Datos del juego			
$MISC_GOLD	chatarra			
$MISC_GOLD_TT_TEXT	La chatarra (dinero) que obtienes tras una batalla.<N><RE>[$MISC_ADJUST_REWARDS]			
$MISC_GOLD_TT_TITLE	Chatarra	COMMENT: moves the 'cycle defenders' text and associated buttons		
$MISC_GOLD:	chatarra:			
$MISC_HARD	<RE>$MISC_EXTREME			
$MISC_HARD_SHORT	<RE>$MISC_EXTREME_SHORT			
$MISC_HARDER	más difícil			
$MISC_HEAL	cura			
$MISC_HERO_MODE	Modo héroe			
$MISC_HERO_MODE_TEXT	Reclutar personajes genéricos está prohibido.<N>¡NO recomendado si es la primera vez que juegas!<N><N>NOTAS:<N>Puedes cambiar de opinión más tarde intentando reclutar un personaje y obviando la advertencia que aparece.<N><N>Recomendamos encarecidamente ajustar la ganancia de EXP. y chatarra al 300% al jugar en el modo héroe.<N><N>Por último			
$MISC_HERO_MODE_TITLE	<RE>$MISC_HERO_MODE			
$MISC_HIRE	¡CONTR-<N>ATAR!			
$MISC_HIRE_Q	¿Contratar a <CLASS> <NAME> por <N><SCRAP> de chatarra?			
$MISC_HP	puntos de vida			
$MISC_HP_SHORT	PV			
$MISC_IMMUNE_TO	Inmune a <SOMETHING>			
$MISC_INFO	info			
$MISC_JOURNAL	Diario			
$MISC_LANGUAGES	Idiomas			
$MISC_LEADER	líder			
$MISC_LEAVE	salir			
$MISC_LEVEL	nivel			
$MISC_LEVEL_SHORT	NIV			
$MISC_LEVEL_PARTY_GEM	Nivel	Appears on character blocks in the party screen
$MISC_LEVEL_WAVE_BLOCK	Nivel	Appears on enemy wave blocks in battle
$MISC_LEVEL_SHORT_X	NIV <X>			
$MISC_LEVEL_SUPER_SHORT	N			
$MISC_LEVEL_UP!	¡SUBE NIVEL!			
$MISC_LEVEL_UPX	SUBE NIVELx			
$MISC_LEVEL_X	Nivel <X>			
$MISC_LOADING	Cargando...			
$MISC_LOADING_PERCENT	Cargando...<PERCENT>%			
$MISC_LOCKED	bloqueado			
$MISC_LVLUP	SUB.NIV			
$MISC_MAKE_CHANGE	¿Hacer estos cambios?			
$MISC_MAX	MÁX			
$MISC_MEDIUM	<RE>$MISC_ADVANCED			
$MISC_MEDIUM_SHORT	<RE>$MISC_ADVANCED_SHORT			
$MISC_MENU	menú			
$MISC_MISS	fallo			
$MISC_MODS	Mods			
$MISC_MORE	más...			
$MISC_MOVIES	Secuencias			
$MISC_NEED_PSI	NECESITAS<N>PSI			
$MISC_NEW_GAME_SETTINGS	Ajustes de Nueva partida			
$MISC_NEXT	siguiente			
$MISC_NO	no			
$MISC_NO_AFFORD	NO TIENES SUFICIENTE			
$MISC_NO_CHANGE	sin cambio			
$MISC_NO_HARDWARE	Tu sistema no es compatible con la aceleración de hardware. El juego seguirá funcionando			
$MISC_NOBODY	Nadie			
$MISC_NOM!	¡ÑAM!			
$MISC_NONE	nada			
$MISC_NONE_DEFAULT	Ninguno *			
$MISC_NORMAL	normal			
$MISC_NORMAL_SHORT	normal			
$MISC_NOTHING	nada			
$MISC_NOTHING_TO_EQUIP	¡Nada que equipar!			
$MISC_NOTHING!	¡nada!			
$MISC_OF_DAMAGE	de DAÑO			
$MISC_OK	Ok			
$MISC_OKAY	vale			
$MISC_OPTIONS	Opciones			
$MISC_OTHER	Otro			
$MISC_PARTY	Grupo			
$MISC_PASS	superado			
$MISC_PERFECT	perfecto			
$MISC_PERFECT_BONUS	Bonus perf:			
$MISC_PERFECT!	¡perfecto!			
$MISC_PHASES	desaparece			
$MISC_PLEASE_ENTER_A_NAME!	¡Introduce un nombre!			
$MISC_PLEASE_WAIT	Por favor, espera...			
$MISC_PLUS_X_STAT	<PLUS><X> <STAT>			
$MISC_PLUS_X_TO_ARMOR_ABS	<PLUS_OR_MINUS><X> a ARMADURA			
$MISC_PLUS_X_TO_ATTACK	<PLUS_OR_MINUS><X> a ATAQUE			
$MISC_PLUS_X_TO_ATTACK_SPEED	<PLUS_OR_MINUS><X> a VELOCIDAD			
$MISC_PLUS_X_TO_DEFENSE_ABS	<PLUS_OR_MINUS><X> a DEFENSA			
$MISC_PLUS_X_TO_HP	<PLUS_OR_MINUS><X> a PV			
$MISC_PLUS_X_TO_RANGE	<PLUS_OR_MINUS><X> a RANGO			
$MISC_PLUS_X_TO_REGEN_ABS	<PLUS_OR_MINUS><X> a REGENERACIÓN			
$MISC_PLUS_X%_TO_ARMOR_MULT	<PLUS_OR_MINUS><X> a ARMOR_MULT			
$MISC_PLUS_X%_TO_DEFENSE_MULT	<PLUS_OR_MINUS><X>% a DEFENSA			
$MISC_PLUS_X%_TO_DODGE	<PLUS_OR_MINUS><X> a EVASIÓN			
$MISC_PLUS_X%_TO_EVADE	<RE>$MISC_PLUS_X%_TO_DODGE			
$MISC_PLUS_X%_TO_REGEN_MULT	<PLUS_OR_MINUS><X>% a REGENERACIÓN			
$MISC_PORCUPINE	espinas			
$MISC_PREV	ant.			
$MISC_PREVIOUS	anterior			
$MISC_PROBLEM?	problem?			
$MISC_PSI	psi			
$MISC_PSI_SHORT	psi			
$MISC_CHANGE_USER	Cambiar usuario
$MISC_WRONG_USER	Algo va mal con el usuario que ha iniciado sesión.
$MISC_SIGN_IN	Iniciar sesión
$MISC_QUIT	salir			
$MISC_QUIT	salir			
$MISC_QUIT_BATTLE	salir de la batalla			
$MISC_RANDOM	aleatorio			
$MISC_RANGE	rango			
$MISC_RANGE_SHORT	RAN			
$MISC_RECRUIT	reclutar			
$MISC_REFUSE	rechazar			
$MISC_REGEN	regen			
$MISC_REGEN_LONG	regeneración			
$MISC_REGEN_SHORT	REG			
$MISC_RESET	Reiniciar			
$MISC_RESIST	resistencia a <SOMETHING>			
$MISC_RESIST_X	resiste <X>%			
$MISC_RESTART	reiniciar			
$MISC_RESTART?	¿Reiniciar?			
$MISC_RESTORE_DEFAULTS	Restablecer ajustes por defecto			
$MISC_REWARD	Recompensa:			
$MISC_SAVE_DATA	Guardar datos			
$MISC_SAVE_ERROR_TEXT	El guardado automático ha fallado			
$MISC_SAVE_ERROR_TITLE	¡Error de guardado automático!			
