     	name	comment	
$BLANK		COMMENT: This file contains all the tutorial text from the game's map (level) files.	
$1_1_WHERE_AM_I_00_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_00_TEXT	我在哪？		
$1_1_WHERE_AM_I_10_TITLE			
$1_1_WHERE_AM_I_10_TEXT	这是你的角色 。$MCG.<N>她不能动。		
$1_1_WHERE_AM_I_20_TITLE			
$1_1_WHERE_AM_I_20_TEXT	敌人来了！<N>不要让他们接近 $MCG!		
$1_1_WHERE_AM_I_30_TITLE			
$1_1_WHERE_AM_I_30_TEXT	在新游戏+ 模式, 敌人会更强了，也有了新技能。		
$1_1_WHERE_AM_I_40_TITLE			
$1_1_WHERE_AM_I_40_TEXT	举例说，所有的亡灵都可恢复体力值。		
$1_1_WHERE_AM_I_50_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_50_TEXT	嘿！陌生人！你在哪？		
$1_1_WHERE_AM_I_60_TITLE			
$1_1_WHERE_AM_I_60_TEXT	点击这里选择狂战士菜单。		
$1_1_WHERE_AM_I_61_TITLE			
$1_1_WHERE_AM_I_61_TEXT	点击 <守护者> or <上> 去选择狂战士菜单。		
$1_1_WHERE_AM_I_70_TITLE			
$1_1_WHERE_AM_I_70_TEXT	现在你只有你的狂战士。当你遇见故事中的第二位英雄时，你就可以解锁那个职业的所有角色。		
$1_1_WHERE_AM_I_80_TITLE	TALK_$BER_SURPRISE		
$1_1_WHERE_AM_I_80_TEXT	你对我做了什么？！		
$1_1_WHERE_AM_I_90_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_90_TEXT	我不知道！有怪物在追我！救命啊！		
$1_1_WHERE_AM_I_100_TITLE	TALK_$BER_SURPRISE		
$1_1_WHERE_AM_I_100_TEXT	为什么我会变成透明呢？我的身体呢？		
$1_1_WHERE_AM_I_110_TITLE			
$1_1_WHERE_AM_I_110_TEXT	这里显示你的队伍中所有的狂战士。<N>现在你只有这个人了。		
$1_1_WHERE_AM_I_120_TITLE			
$1_1_WHERE_AM_I_120_TEXT	点选这里去选择他。		
$1_1_WHERE_AM_I_121_TITLE			
$1_1_WHERE_AM_I_121_TEXT	按 <下>, 然后 <选择>去选择他。		
$1_1_WHERE_AM_I_130_TITLE			
$1_1_WHERE_AM_I_130_TEXT	你的旧角色拥有所有来自最好一盘游戏的力量，技能和所有装备。		
$1_1_WHERE_AM_I_140_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_140_TEXT	我大喊了出来?? 我感觉到你在我的心中??		
$1_1_WHERE_AM_I_150_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_150_TEXT	别溜走了！我必须集中！		
$1_1_WHERE_AM_I_160_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_160_TEXT	如果我能集中精神-或许我可以带你去那里呢！		
$1_1_WHERE_AM_I_170_TITLE	TALK_$BER_SURPRISE		
$1_1_WHERE_AM_I_170_TEXT	呃…...可以		
$1_1_WHERE_AM_I_180_TITLE	TALK_$BER_LOOKBACK		
$1_1_WHERE_AM_I_180_TEXT	我不应该吃掉那碗炖蜥蜴?? 		
$1_1_WHERE_AM_I_190_TITLE			
$1_1_WHERE_AM_I_190_TEXT	点击这里放置你的守护者。<N><N>这是个好位置啊！		
$1_1_WHERE_AM_I_191_TITLE			
$1_1_WHERE_AM_I_191_TEXT	用<TILE_MOVE> 来移动, 然后 按<SELECT>去放置.<N><N>真是个好位置啊！		
$1_1_WHERE_AM_I_200_TITLE	TALK_$BER_SMILE		
$1_1_WHERE_AM_I_200_TEXT	嘿！<N>这就像样了！		
$1_1_WHERE_AM_I_210_TITLE			
$1_1_WHERE_AM_I_210_TEXT	$MCG 用能量去召唤守护者。<N>杀敌可以补充你的能量能量。		
$1_1_WHERE_AM_I_220_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_220_TEXT	太好了！<N>现在就做些事吧！		
$1_1_WHERE_AM_I_230_TITLE	TALK_$BER_SMILE		
$1_1_WHERE_AM_I_230_TEXT	那是什么？你说呢～<N>用充满男性魅力的暴力来诱惑你？		
$1_1_WHERE_AM_I_240_TITLE	TALK_$BER_DERANGED		
$1_1_WHERE_AM_I_240_TEXT	我这样做的话，别介意啊！		
$1_1_WHERE_AM_I_250_TITLE			
$1_1_WHERE_AM_I_250_TEXT	守护者不能移动<N>但会自动攻击敌人。		
$1_1_WHERE_AM_I_260_TITLE			
$1_1_WHERE_AM_I_260_TEXT	游戏现在暂停。		
$1_1_WHERE_AM_I_270_TITLE			
$1_1_WHERE_AM_I_270_TEXT	点击这里开始。		
$1_1_WHERE_AM_I_271_TITLE			
$1_1_WHERE_AM_I_271_TEXT	按<暂停> 来开始		
$1_1_WHERE_AM_I_280_TITLE	TALK_$BER_DERANGED		
$1_1_WHERE_AM_I_280_TEXT	来吧！毛也未长齐的小鬼！<N>掏膛的在等着呢！		
$1_1_WHERE_AM_I_290_TITLE	TALK_$BER_LOOKBACK		
$1_1_WHERE_AM_I_290_TEXT	这真棒！但我总觉得我可以干得更好！		
$1_1_WHERE_AM_I_300_TITLE	TALK_$BER_LOOKBACK		
$1_1_WHERE_AM_I_300_TEXT	你确定你把我的身体全灭了嘛？没有任何......遗漏？		
$1_1_WHERE_AM_I_310_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_310_TEXT	我觉得我可以把更多的能量传给你......		
$1_1_WHERE_AM_I_320_TITLE			
$1_1_WHERE_AM_I_320_TEXT	这是 $BER的能量棒。它会让你更强更快。		
$1_1_WHERE_AM_I_330_TITLE			
$1_1_WHERE_AM_I_330_TEXT	在补充第二阶，$BER可以用第二个技能，双打击。		
$1_1_WHERE_AM_I_340_TITLE			
$1_1_WHERE_AM_I_340_TEXT	现在就点击补充！<N>你不会后悔的！		
$1_1_WHERE_AM_I_341_TITLE			
$1_1_WHERE_AM_I_341_TEXT	按补充和 <选择>!<N>你不会后悔的！		
$1_1_WHERE_AM_I_350_TITLE	TALK_$BER_DERANGED		
$1_1_WHERE_AM_I_350_TEXT	这就像样了！		
$1_2_THE_SHADOW_WORLD_00_TITLE	TALK_$MCG_POWER		
$1_2_THE_SHADOW_WORLD_00_TEXT	$BER! 这有效啊！		
$1_2_THE_SHADOW_WORLD_10_TITLE	TALK_$MCG_POWER		
$1_2_THE_SHADOW_WORLD_10_TEXT	我回到一个奇怪的地方?? 这是一个中途的地方?? 		
$1_2_THE_SHADOW_WORLD_20_TITLE	TALK_$BER_SURPRISE		
$1_2_THE_SHADOW_WORLD_20_TEXT	带我进来，我在太空中漂浮着呢！		
$1_2_THE_SHADOW_WORLD_30_TITLE			
$1_2_THE_SHADOW_WORLD_30_TEXT	记住，<N>点击这里选择狂战士菜单。		
$1_2_THE_SHADOW_WORLD_31_TITLE			
$1_2_THE_SHADOW_WORLD_31_TEXT	记住，<N>按 <守护者> 或是 <上> 去选择狂战士菜单。		
$1_2_THE_SHADOW_WORLD_40_TITLE	TALK_$BER_SMILE		
$1_2_THE_SHADOW_WORLD_40_TEXT	噢耶！一起起舞吧！		
$1_2_THE_SHADOW_WORLD_50_TITLE			
$1_2_THE_SHADOW_WORLD_50_TEXT	点击$BER 来选择他。		
$1_2_THE_SHADOW_WORLD_51_TITLE			
$1_2_THE_SHADOW_WORLD_51_TEXT	用<TILE_MOVE> 与 <SELECT> 来选择 $BER.		
$1_2_THE_SHADOW_WORLD_60_TITLE			
$1_2_THE_SHADOW_WORLD_60_TEXT	这些按钮都是指示$BER要攻击那一个敌人。		
$1_2_THE_SHADOW_WORLD_70_TITLE			
$1_2_THE_SHADOW_WORLD_70_TEXT	记住，用这些按钮<N>来将时间加速或是减慢。		
$1_2_THE_SHADOW_WORLD_80_TITLE	提示		
$1_2_THE_SHADOW_WORLD_80_TEXT	在时间暂停的时候，你们都可以操作。<N>用 <PAUSE> 来快速暂停。		
$1_2_THE_SHADOW_WORLD_90_TITLE			
$1_2_THE_SHADOW_WORLD_90_TEXT	别忘了补充 $BER.<N>这是重要的策略啊！		
$1_2_THE_SHADOW_WORLD_91_TITLE			
$1_2_THE_SHADOW_WORLD_91_TEXT	别忘了用<SELECT>去补充 $BER。<N>这是重要的策略啊！		
$1_2_THE_SHADOW_WORLD_100_TITLE	TALK_$BER_DERANGED		
$1_2_THE_SHADOW_WORLD_100_TEXT	噢耶！<N>感受我的力量吧！		
$1_2_THE_SHADOW_WORLD_110_TITLE			
$1_2_THE_SHADOW_WORLD_110_TEXT	OH NO!啊！不要！<N>$BER 不能达到下一波的敌人！		
$1_2_THE_SHADOW_WORLD_120_TITLE			
$1_2_THE_SHADOW_WORLD_120_TEXT	用$MCG的闪电咒去攻击他们！		
$1_2_THE_SHADOW_WORLD_121_TITLE			
$1_2_THE_SHADOW_WORLD_121_TEXT	用$MCG的闪电咒去攻击他们！<N>按 <咒语>, 然后 <选择>.		
$1_2_THE_SHADOW_WORLD_130_TITLE			
$1_2_THE_SHADOW_WORLD_130_TEXT	太好了！<N>用闪电把滑过的敌人击落吧！		
$1_2_THE_SHADOW_WORLD_140_TITLE			
$1_2_THE_SHADOW_WORLD_140_TEXT	但使用时要谨慎，<N>它的使用是需要能量的。		
$1_3_COLISEUM_1_00_TITLE	TALK_$RAN_NORMAL		
$1_3_COLISEUM_1_00_TEXT	没有搞错吧！ 你在干嘛呢？		
$1_3_COLISEUM_1_10_TITLE	TALK_$BER_SMILE		
$1_3_COLISEUM_1_10_TEXT	感觉很奇怪，是吗？		
$1_3_COLISEUM_1_20_TITLE	TALK_$RAN_NORMAL		
$1_3_COLISEUM_1_20_TEXT	我觉得??我好像得了瘟疫??		
$1_3_COLISEUM_1_30_TITLE	TALK_$RAN_NORMAL		
$1_3_COLISEUM_1_30_TEXT	当我觉得我快要死啦??		
$1_3_COLISEUM_1_40_TITLE	TALK_$RAN_NORMAL		
$1_3_COLISEUM_1_40_TEXT	我的一只脚都要踏进去了??		
$1_3_COLISEUM_1_50_TITLE	TALK_$BER_DERANGED		
$1_3_COLISEUM_1_50_TEXT	哼！与其等死，倒不如杀出去！		
$1_3_COLISEUM_1_60_TITLE	TALK_$BER_SMILE		
$1_3_COLISEUM_1_60_TEXT	整体来看，还是比等死好！		
$1_3_COLISEUM_1_70_TITLE	游侠		
$1_3_COLISEUM_1_70_TEXT	$MCG 可以在狂战士和游侠两个职业之间选择。		
$1_3_COLISEUM_1_80_TITLE			
$1_3_COLISEUM_1_80_TEXT	把滑鼠移动到敌人群上获取更多讯息。		
$1_3_COLISEUM_1_90_TITLE			
$1_3_COLISEUM_1_90_TEXT	举例说，这些红色的敌人会反击的！		
$1_3_COLISEUM_1_100_TITLE			
$1_3_COLISEUM_1_100_TEXT	另外，留意这个图案。这一波的怪可会复活的。		
$1_4_COLISEUM_2_00_TITLE			
$1_4_COLISEUM_2_00_TEXT	如果你雇用更多的狂战士，<N>$MCG 可以在狂战士菜单中召唤他们至中途世界。		
$1_4_COLISEUM_2_10_TITLE	提时		
$1_4_COLISEUM_2_10_TEXT	$BER 依然是你最好的战士- <N>使用他的“双击“来提升他的数值。		
$2_2_UNDEAD_RANGERS_00_TITLE			
$2_2_UNDEAD_RANGERS_00_TEXT	这些不死的游侠有更长的攻击距离，要小心计划啊！		
$2_4_MONASTERY_00_TITLE	召回中		
$2_4_MONASTERY_00_TEXT	你可以把守护者从战场上召回，<N>再赚一些能量，然后把他们放在其他位置。		
$2_4_MONASTERY_10_TITLE	召回中		
$2_4_MONASTERY_10_TEXT	这样做的话，选择一个守护者，点击k <LQ>召回,<RQ> 或是按 <召回>.		
$2_4_MONASTERY_20_TITLE	全额退款		
$2_4_MONASTERY_20_TEXT	在第一波敌人到达之前，<N>召回他们可以退回100%的能量。		
$3_1_TO_THE_PASS_00_TITLE	TALK_$HEA_NORMAL		
$3_1_TO_THE_PASS_00_TEXT	那家医院在河的对面??		
$3_1_TO_THE_PASS_10_TITLE	TALK_$MCG_POWER		
$3_1_TO_THE_PASS_10_TEXT	我感觉到它们??它们知道我在这里。		
$3_1_TO_THE_PASS_20_TITLE	TALK_$BER_SMILE		
$3_1_TO_THE_PASS_20_TEXT	冷静, $MCG!我们可以在河的远处躲起来！		
$3_1_TO_THE_PASS_30_TITLE	TALK_$BER_SMILE		
$3_1_TO_THE_PASS_30_TEXT	我说的<LQ>躲起来<RQ> 我指的是 <LQ>杀过去<RQ> ，至于 <LQ>河的远处<RQ> ，我指的是??		
$3_1_TO_THE_PASS_40_TITLE	TALK_$BER_DERANGED		
$3_1_TO_THE_PASS_40_TEXT	<LQ>任何会动的东西！！！<RQ>		
$3_1_TO_THE_PASS_50_TITLE	TALK_$MCG_POWER		
$3_1_TO_THE_PASS_50_TEXT	等等??只有我吗？还是真的是有东西在游泳？		
$3_1_TO_THE_PASS_60_TITLE	TALK_$BER_SMILE		
$3_1_TO_THE_PASS_60_TEXT	更像狗在过河，你游得太丑啦！		
$3_1_TO_THE_PASS_70_TITLE	TALK_$BER_DERANGED		
$3_1_TO_THE_PASS_70_TEXT	你听到嘛？我说你是狗！		
$3_1_TO_THE_PASS_80_TITLE	TALK_$RAN_NORMAL		
$3_1_TO_THE_PASS_80_TEXT	你知道什么叫狗嘴长不出象牙吗？		
$3_1_TO_THE_PASS_90_TITLE	TALK_$BER_SMILE		
$3_1_TO_THE_PASS_90_TEXT	这可是我最厉害的武器！		
$3_2_HOSPITAL_ATTACK_00_TITLE			
$3_2_HOSPITAL_ATTACK_00_TEXT	冰霜法师可以减慢敌人的速度，这对短距离和敏捷的敌人非常有效。		
$3_2_HOSPITAL_ATTACK_10_TITLE	TALK_$MAG_FRIENDLY		
$3_2_HOSPITAL_ATTACK_10_TEXT	现在我的内心唱起了战曲。		
$3_2_HOSPITAL_ATTACK_20_TITLE	TALK_$MAG_FROWN		
$3_2_HOSPITAL_ATTACK_20_TEXT	我们看看为火服务的冰??		
$3_2_HOSPITAL_ATTACK_30_TITLE	TALK_$MAG_PISSED		
$3_2_HOSPITAL_ATTACK_30_TEXT	让我们的敌人淹死在它们自己的血中吧。		
$3_4_ARMORED_CREEPS_00_TITLE			
$3_4_ARMORED_CREEPS_00_TEXT	这些亡灵的盔甲可以它们挡住不少伤害。		
$3_4_ARMORED_CREEPS_10_TITLE	TALK_$BER_DERANGED		
$3_4_ARMORED_CREEPS_10_TEXT	嘿侏儒！真正的男人可以赤膊上阵啊！		
$3_4_ARMORED_CREEPS_20_TITLE	TALK_$RAN_NORMAL		
$3_4_ARMORED_CREEPS_20_TEXT	哎，如果它们想一起上，让它们来吧！		
$3_4_ARMORED_CREEPS_30_TITLE	TALK_$RAN_NORMAL		
$3_4_ARMORED_CREEPS_30_TEXT	越少的僵尸化??越少的乱七八糟让我看就越好。		
$3_4_ARMORED_CREEPS_40_TITLE	TALK_$BER_SURPRISE		
$3_4_ARMORED_CREEPS_40_TEXT	我知道我是十项全能，但我要如何来对付这些被盔甲保护的敌人呢？		
$3_4_ARMORED_CREEPS_50_TITLE	TALK_$HEA_NORMAL		
$3_4_ARMORED_CREEPS_50_TEXT	我有个好主意！		
$3_4_ARMORED_CREEPS_60_TITLE	TALK_$HEA_NORMAL		
$3_4_ARMORED_CREEPS_60_TEXT	$MCG, 当敌人经过那些晶石石，攻击其中一颗吧！		
$3_5_MEET_THE_KNIGHT_00_TITLE			
$3_5_MEET_THE_KNIGHT_00_TEXT	这骑士有打破盔甲的技能，每攻击一下就会减弱盔甲的防护。		
$3_5_MEET_THE_KNIGHT_10_TITLE	TALK_$KNI_NORMAL		
$3_5_MEET_THE_KNIGHT_10_TEXT	我可以打碎这些怪物的盔甲！		
$3_5_MEET_THE_KNIGHT_20_TITLE	TALK_$KNI_SQUINT		
$3_5_MEET_THE_KNIGHT_20_TEXT	...... 如果......我有一个身体......		
$3_5_MEET_THE_KNIGHT_30_TITLE	TALK_$KNI_SQUINT		
$3_5_MEET_THE_KNIGHT_30_TEXT	发生什么事？		
$3_6_INTO_THE_CITY_00_TITLE	TALK_$MCG_POWER		
$3_6_INTO_THE_CITY_00_TEXT	$BER, 你在搞什么啊?!		
$3_6_INTO_THE_CITY_10_TITLE	TALK_$BER_DERANGED		
$3_6_INTO_THE_CITY_10_TEXT	这是真男人的战争！		
$3_6_INTO_THE_CITY_20_TITLE	TALK_$MCG_POWER		
$3_6_INTO_THE_CITY_20_TEXT	现在给我穿上裤子！		
$3_6_INTO_THE_CITY_30_TITLE	TALK_$BER_DERANGED		
$3_6_INTO_THE_CITY_30_TEXT	永不！		
$3_6_INTO_THE_CITY_40_TITLE	TALK_$MCG_POWER		
$3_6_INTO_THE_CITY_40_TEXT	现在就做！否则我不会拉你入队。		
$3_6_INTO_THE_CITY_50_TITLE	TALK_$BER_SMILE		
$3_6_INTO_THE_CITY_50_TEXT	......好吧		
$3_11_CITADEL_BOSS_00_TITLE	TALK_$BER_SMILE		
$3_11_CITADEL_BOSS_00_TEXT	我看不见的敌人我该如何打呢？！		
$3_11_CITADEL_BOSS_10_TITLE	TALK_$HEA_NORMAL		
$3_11_CITADEL_BOSS_10_TEXT	它们看起来会制造包围自己的毒云。		
$3_11_CITADEL_BOSS_20_TITLE	TALK_$MCG_POWER		
$3_11_CITADEL_BOSS_20_TEXT	我们该如何摆脱它们呢？		
$3_11_CITADEL_BOSS_30_TITLE	TALK_$HEA_NORMAL		
$3_11_CITADEL_BOSS_30_TEXT	我想我可以消除这种黑暗......不过只有一小会儿。		
$3_11_CITADEL_BOSS_40_TITLE	TALK_$BER_DERANGED		
$3_11_CITADEL_BOSS_40_TEXT	这就是我需要的。		
$3_13_DESTROY_CITY_00_TITLE	TALK_ZELEMIR_POWER		
$3_13_DESTROY_CITY_00_TEXT	够了！		
$3_13_DESTROY_CITY_10_TITLE	TALK_ZELEMIR_POWER		
$3_13_DESTROY_CITY_10_TEXT	就在这里终止吧。		
$3_13_DESTROY_CITY_20_TITLE	TALK_ZELEMIR_POWER		
$3_13_DESTROY_CITY_20_TEXT	你觉得这些小伤口就可以打倒我？		
$3_13_DESTROY_CITY_30_TITLE	TALK_$HEA_NORMAL		
